merchant_id,merchant_name,region,region_name,industry,industry_name,city,t1,t2,t3,t4,i1,i2,i3,i4,i5
1,商户1,2,二线城市,1,正餐,杭州,0,1,0,0,1,0,0,0,0
2,商户2,3,三四线城市,3,火锅,沈阳,0,0,1,0,0,0,1,0,0
3,商户3,3,三四线城市,3,火锅,厦门,0,0,1,0,0,0,1,0,0
4,商户4,4,县域,1,正餐,江阴,0,0,0,1,1,0,0,0,0
5,商户5,1,一线城市,2,快餐小吃,广州,1,0,0,0,0,1,0,0,0
6,商户6,2,二线城市,4,饮品甜品,南京,0,1,0,0,0,0,0,1,0
7,商户7,4,县域,1,正餐,江阴,0,0,0,1,1,0,0,0,0
8,商户8,3,三四线城市,1,正餐,昆明,0,0,1,0,1,0,0,0,0
9,商户9,3,三四线城市,3,火锅,昆明,0,0,1,0,0,0,1,0,0
10,商户10,2,二线城市,1,正餐,南京,0,1,0,0,1,0,0,0,0
11,商户11,3,三四线城市,2,快餐小吃,大连,0,0,1,0,0,1,0,0,0
12,商户12,4,县域,1,正餐,江阴,0,0,0,1,1,0,0,0,0
13,商户13,3,三四线城市,3,火锅,大连,0,0,1,0,0,0,1,0,0
14,商户14,3,三四线城市,2,快餐小吃,厦门,0,0,1,0,0,1,0,0,0
15,商户15,4,县域,4,饮品甜品,常熟,0,0,0,1,0,0,0,1,0
16,商户16,2,二线城市,2,快餐小吃,杭州,0,1,0,0,0,1,0,0,0
17,商户17,2,二线城市,4,饮品甜品,武汉,0,1,0,0,0,0,0,1,0
18,商户18,1,一线城市,4,饮品甜品,深圳,1,0,0,0,0,0,0,1,0
19,商户19,2,二线城市,1,正餐,长沙,0,1,0,0,1,0,0,0,0
20,商户20,3,三四线城市,2,快餐小吃,福州,0,0,1,0,0,1,0,0,0
21,商户21,2,二线城市,1,正餐,苏州,0,1,0,0,1,0,0,0,0
22,商户22,2,二线城市,4,饮品甜品,天津,0,1,0,0,0,0,0,1,0
23,商户23,2,二线城市,4,饮品甜品,天津,0,1,0,0,0,0,0,1,0
24,商户24,1,一线城市,5,其他,深圳,1,0,0,0,0,0,0,0,1
25,商户25,1,一线城市,1,正餐,北京,1,0,0,0,1,0,0,0,0
26,商户26,1,一线城市,2,快餐小吃,深圳,1,0,0,0,0,1,0,0,0
27,商户27,3,三四线城市,1,正餐,哈尔滨,0,0,1,0,1,0,0,0,0
28,商户28,4,县域,5,其他,其他县级市,0,0,0,1,0,0,0,0,1
29,商户29,3,三四线城市,2,快餐小吃,青岛,0,0,1,0,0,1,0,0,0
30,商户30,4,县域,5,其他,江阴,0,0,0,1,0,0,0,0,1
31,商户31,3,三四线城市,2,快餐小吃,宁波,0,0,1,0,0,1,0,0,0
32,商户32,2,二线城市,4,饮品甜品,重庆,0,1,0,0,0,0,0,1,0
33,商户33,3,三四线城市,4,饮品甜品,厦门,0,0,1,0,0,0,0,1,0
34,商户34,4,县域,1,正餐,昆山,0,0,0,1,1,0,0,0,0
35,商户35,3,三四线城市,2,快餐小吃,沈阳,0,0,1,0,0,1,0,0,0
36,商户36,4,县域,3,火锅,桐乡,0,0,0,1,0,0,1,0,0
37,商户37,2,二线城市,3,火锅,长沙,0,1,0,0,0,0,1,0,0
38,商户38,2,二线城市,3,火锅,南京,0,1,0,0,0,0,1,0,0
39,商户39,2,二线城市,1,正餐,武汉,0,1,0,0,1,0,0,0,0
40,商户40,3,三四线城市,3,火锅,昆明,0,0,1,0,0,0,1,0,0
41,商户41,1,一线城市,2,快餐小吃,上海,1,0,0,0,0,1,0,0,0
42,商户42,1,一线城市,3,火锅,广州,1,0,0,0,0,0,1,0,0
43,商户43,3,三四线城市,3,火锅,济南,0,0,1,0,0,0,1,0,0
44,商户44,1,一线城市,3,火锅,深圳,1,0,0,0,0,0,1,0,0
45,商户45,4,县域,1,正餐,其他县级市,0,0,0,1,1,0,0,0,0
46,商户46,3,三四线城市,2,快餐小吃,厦门,0,0,1,0,0,1,0,0,0
47,商户47,4,县域,1,正餐,余姚,0,0,0,1,1,0,0,0,0
48,商户48,1,一线城市,3,火锅,广州,1,0,0,0,0,0,1,0,0
49,商户49,3,三四线城市,2,快餐小吃,青岛,0,0,1,0,0,1,0,0,0
50,商户50,2,二线城市,1,正餐,郑州,0,1,0,0,1,0,0,0,0
51,商户51,1,一线城市,3,火锅,北京,1,0,0,0,0,0,1,0,0
52,商户52,1,一线城市,5,其他,北京,1,0,0,0,0,0,0,0,1
53,商户53,2,二线城市,2,快餐小吃,苏州,0,1,0,0,0,1,0,0,0
54,商户54,2,二线城市,2,快餐小吃,天津,0,1,0,0,0,1,0,0,0
55,商户55,1,一线城市,2,快餐小吃,北京,1,0,0,0,0,1,0,0,0
56,商户56,3,三四线城市,5,其他,哈尔滨,0,0,1,0,0,0,0,0,1
57,商户57,4,县域,2,快餐小吃,江阴,0,0,0,1,0,1,0,0,0
58,商户58,3,三四线城市,2,快餐小吃,哈尔滨,0,0,1,0,0,1,0,0,0
59,商户59,3,三四线城市,3,火锅,沈阳,0,0,1,0,0,0,1,0,0
60,商户60,4,县域,4,饮品甜品,江阴,0,0,0,1,0,0,0,1,0
61,商户61,4,县域,5,其他,张家港,0,0,0,1,0,0,0,0,1
62,商户62,1,一线城市,2,快餐小吃,广州,1,0,0,0,0,1,0,0,0
63,商户63,3,三四线城市,2,快餐小吃,福州,0,0,1,0,0,1,0,0,0
64,商户64,3,三四线城市,4,饮品甜品,宁波,0,0,1,0,0,0,0,1,0
65,商户65,2,二线城市,1,正餐,重庆,0,1,0,0,1,0,0,0,0
66,商户66,1,一线城市,4,饮品甜品,上海,1,0,0,0,0,0,0,1,0
67,商户67,2,二线城市,5,其他,成都,0,1,0,0,0,0,0,0,1
68,商户68,1,一线城市,3,火锅,深圳,1,0,0,0,0,0,1,0,0
69,商户69,2,二线城市,1,正餐,杭州,0,1,0,0,1,0,0,0,0
70,商户70,3,三四线城市,4,饮品甜品,无锡,0,0,1,0,0,0,0,1,0
71,商户71,2,二线城市,1,正餐,杭州,0,1,0,0,1,0,0,0,0
72,商户72,3,三四线城市,4,饮品甜品,福州,0,0,1,0,0,0,0,1,0
73,商户73,4,县域,3,火锅,张家港,0,0,0,1,0,0,1,0,0
74,商户74,2,二线城市,2,快餐小吃,天津,0,1,0,0,0,1,0,0,0
75,商户75,1,一线城市,1,正餐,广州,1,0,0,0,1,0,0,0,0
76,商户76,3,三四线城市,2,快餐小吃,厦门,0,0,1,0,0,1,0,0,0
77,商户77,3,三四线城市,3,火锅,宁波,0,0,1,0,0,0,1,0,0
78,商户78,3,三四线城市,3,火锅,宁波,0,0,1,0,0,0,1,0,0
79,商户79,2,二线城市,2,快餐小吃,苏州,0,1,0,0,0,1,0,0,0
80,商户80,3,三四线城市,5,其他,哈尔滨,0,0,1,0,0,0,0,0,1
81,商户81,3,三四线城市,1,正餐,无锡,0,0,1,0,1,0,0,0,0
82,商户82,1,一线城市,3,火锅,上海,1,0,0,0,0,0,1,0,0
83,商户83,2,二线城市,1,正餐,杭州,0,1,0,0,1,0,0,0,0
84,商户84,3,三四线城市,2,快餐小吃,福州,0,0,1,0,0,1,0,0,0
85,商户85,2,二线城市,2,快餐小吃,重庆,0,1,0,0,0,1,0,0,0
86,商户86,2,二线城市,2,快餐小吃,重庆,0,1,0,0,0,1,0,0,0
87,商户87,2,二线城市,3,火锅,长沙,0,1,0,0,0,0,1,0,0
88,商户88,1,一线城市,4,饮品甜品,广州,1,0,0,0,0,0,0,1,0
89,商户89,2,二线城市,2,快餐小吃,重庆,0,1,0,0,0,1,0,0,0
90,商户90,3,三四线城市,1,正餐,青岛,0,0,1,0,1,0,0,0,0
91,商户91,3,三四线城市,1,正餐,大连,0,0,1,0,1,0,0,0,0
92,商户92,2,二线城市,2,快餐小吃,西安,0,1,0,0,0,1,0,0,0
93,商户93,3,三四线城市,5,其他,青岛,0,0,1,0,0,0,0,0,1
94,商户94,2,二线城市,2,快餐小吃,西安,0,1,0,0,0,1,0,0,0
95,商户95,4,县域,5,其他,余姚,0,0,0,1,0,0,0,0,1
96,商户96,1,一线城市,4,饮品甜品,北京,1,0,0,0,0,0,0,1,0
97,商户97,3,三四线城市,2,快餐小吃,大连,0,0,1,0,0,1,0,0,0
98,商户98,1,一线城市,1,正餐,深圳,1,0,0,0,1,0,0,0,0
99,商户99,3,三四线城市,1,正餐,沈阳,0,0,1,0,1,0,0,0,0
100,商户100,2,二线城市,2,快餐小吃,杭州,0,1,0,0,0,1,0,0,0
